Macrorregião de Saúde;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
1101 MACRORREGIONAL II (CACOAL);1;-;2;1;1;1;-;1;-;3;2;1;-;-;2;1;2;1;2;1;1;-;1;1;1
1102 MACRORREGIAO I - PORTO VELHO;-;1;3;2;-;1;2;1;1;-;-;2;1;-;2;-;3;3;-;2;1;1;1;-;-
1201 MACRO UNICA - AC;-;2;2;1;2;4;2;4;1;1;1;1;1;-;1;3;-;2;5;1;2;2;2;3;1
1302 OESTE;-;-;-;2;-;-;1;1;-;1;1;-;1;-;-;-;-;-;1;1;1;1;2;-;-
1303 LESTE;1;-;-;-;-;-;-;1;1;1;1;-;-;-;1;-;1;1;-;1;1;1;2;-;1
1304 CENTRAL;1;3;6;7;4;6;8;5;3;3;1;6;2;5;4;10;5;6;5;8;8;9;10;8;8
1401 MACRO-RORAIMA;1;-;-;-;2;-;-;-;-;-;1;1;-;-;-;-;-;2;1;1;-;-;-;4;1
1509 MACRORREGIONAL IV;1;1;1;2;1;-;1;3;1;5;2;2;2;1;2;2;3;2;2;1;-;1;2;2;3
1510 MACRORREGIONAL III;-;2;1;2;3;1;-;2;1;1;2;2;5;2;3;3;1;5;1;1;5;2;1;-;3
1511 MACRORREGIONAL II;1;2;3;1;1;1;-;6;-;5;5;4;6;3;7;2;2;5;13;4;5;3;1;5;4
1512 MACRORREGIONAL I;4;8;6;5;7;6;6;9;7;2;7;5;5;10;5;4;12;9;7;6;8;8;8;6;1
1601 MACRO UNICA - AP;1;1;1;2;-;-;1;1;1;-;-;4;1;1;3;2;-;-;1;3;2;2;1;2;1
1701 MACRORREGIAO NORTE;-;-;-;-;-;-;-;1;1;1;-;1;1;2;2;-;-;1;-;1;1;1;2;-;1
1702 MACRORREGIAO CENTRO-SUL;-;-;2;2;-;-;2;1;1;1;1;1;1;-;3;-;1;1;-;1;4;-;-;-;1
2109 MACRORREGIAO SUL;-;1;-;-;-;1;2;2;-;3;-;1;2;2;2;-;-;3;1;1;2;-;1;1;1
2110 MACRORREGIAO NORTE;2;6;2;2;6;2;5;3;6;7;4;3;1;11;4;8;10;4;6;4;6;6;4;8;3
2111 MACRORREGIAO LESTE;-;1;1;1;4;3;4;2;2;1;3;5;1;3;2;-;3;1;1;-;4;5;6;3;1
2207 SEMI-ARIDO;-;1;-;-;2;-;-;1;-;-;1;1;1;-;-;1;1;-;2;-;3;1;2;1;-
2208 MEIO NORTE;2;1;1;4;2;-;3;2;4;3;4;4;2;2;1;4;7;3;5;-;3;5;3;4;4
2209 LITORAL;-;-;-;-;1;1;1;1;-;3;1;3;2;-;-;1;-;1;2;2;1;-;1;1;2
2210 CERRADOS;-;-;1;-;-;-;1;-;1;1;-;5;1;-;1;1;-;-;2;2;1;1;-;2;1
2306 5ª MACRO - LITORAL LESTE/JAGUARIBE;-;3;-;2;-;-;1;-;2;-;-;-;2;-;2;1;-;1;1;1;-;-;1;1;1
2307 4ª MACRO - SERTAO CENTRAL;-;-;1;3;-;1;3;1;3;2;-;-;1;1;1;-;2;1;-;-;3;-;-;-;-
2308 3ª MACRO - CARIRI;1;1;1;2;-;-;3;2;3;1;2;5;1;4;3;4;1;5;1;2;3;3;2;1;4
2309 2ª MACRO - SOBRAL;1;-;1;-;4;3;1;3;2;-;3;2;3;2;3;1;5;1;2;4;2;2;2;6;1
2310 1ª MACRO - FORTALEZA;6;3;12;11;6;4;3;9;4;10;5;7;4;6;6;10;6;4;3;7;7;9;8;7;9
2401 MACRORREGIAO II;1;-;1;1;-;1;2;-;-;-;-;1;2;-;2;2;2;-;2;1;2;-;2;2;1
2402 MACRORREGIAO I;2;4;3;3;2;1;4;4;4;5;4;4;5;4;3;3;2;4;5;5;2;3;5;1;5
2501 MACRORREGIAO III - SERTAO/ALTO SERTAO;-;1;-;-;-;1;2;1;1;1;2;1;1;2;3;-;-;1;-;-;-;-;-;1;1
2502 MACRORREGIAO II - CAMPINA GRANDE;-;1;-;1;-;-;-;1;-;-;1;2;1;1;1;2;1;3;-;3;2;-;2;-;1
2503 MACRORREGIAO I - JOAO PESSOA;1;4;-;1;5;3;5;3;2;1;1;2;3;2;3;2;1;-;3;2;3;3;-;2;2
2605 VALE DO S.FRANCISCO E ARARIPE;2;-;-;-;-;-;-;1;-;2;1;-;3;1;3;1;4;-;-;1;1;-;3;1;1
2606 SERTAO;3;-;-;-;-;3;-;-;-;1;-;5;2;1;-;1;-;-;-;3;3;1;-;-;2
2607 METROPOLITANA;4;4;6;3;4;5;4;4;6;3;5;8;5;7;6;3;3;3;5;3;2;6;4;1;6
2608 AGRESTE;1;-;2;2;-;1;2;-;4;1;1;1;1;2;-;3;-;2;3;1;-;1;1;3;2
2703 2ª MACRORREGIAO DE SAUDE;-;-;-;1;2;2;1;2;-;3;1;2;-;1;2;1;-;3;2;2;2;-;3;2;2
2704 1ª MACRORREGIAO DE SAUDE;1;1;6;1;2;2;5;2;2;1;1;4;4;4;4;3;2;2;6;4;2;1;1;-;3
2801 MACRO UNICA;1;1;4;1;2;2;2;1;2;4;1;-;2;4;4;1;2;1;2;-;4;3;3;2;1
2910 SUL (NBS - ILHEUS);2;1;1;-;2;4;2;2;2;-;2;3;1;2;5;5;2;1;2;-;-;2;1;-;1
2911 SUDOESTE (NBS - VITORIA CONQUISTA);1;1;1;1;2;1;-;-;-;1;1;4;3;1;4;1;4;1;-;1;2;2;1;1;1
2912 OESTE (NBS - BARREIRAS);-;-;1;-;-;1;-;-;1;1;1;1;-;-;1;1;-;-;1;-;2;-;-;-;1
2913 NORTE - (NRS - JUAZEIRO);1;-;-;1;3;-;1;-;2;1;1;1;-;2;-;2;3;-;1;2;2;-;2;2;-
2914 NORDESTE (NRS - ALAGOINHAS);-;2;1;1;1;1;-;1;1;1;1;-;2;2;-;1;-;1;-;1;1;3;-;1;-
2915 LESTE - (NRS - SALVADOR);4;4;3;3;2;5;6;4;1;6;6;3;1;4;3;2;6;5;4;7;5;5;4;5;2
2916 EXTREMO SUL (NRS - TEIXEIRA FREITAS);-;1;1;-;1;-;3;1;-;-;-;3;-;1;-;-;1;2;-;-;2;-;1;1;-
2917 CENTRO-LESTE (NRS - FEIRA SANTANA);2;-;2;2;2;1;1;1;1;-;2;2;1;1;2;2;3;1;-;1;1;3;2;1;-
2918 CENTRO - NORTE (NRS - JACOBINA);-;1;-;-;-;1;3;1;1;-;-;1;1;2;2;-;2;-;1;-;1;-;-;1;1
3101 SUL;1;3;1;1;3;1;3;3;6;1;1;2;5;3;-;-;1;-;2;5;1;4;-;2;4
3102 CENTRO SUL;1;-;2;2;-;2;1;1;1;-;1;-;-;1;1;1;1;4;1;-;-;-;-;1;2
3103 CENTRO;5;8;6;10;10;13;3;11;6;8;4;4;6;9;3;9;9;4;3;2;5;4;4;4;7
3104 JEQUITINHONHA;-;-;1;1;-;1;-;-;1;-;1;1;-;-;-;-;-;-;-;-;1;-;-;1;-
3105 OESTE;1;-;2;-;1;2;2;3;-;1;1;2;2;3;1;2;-;1;2;-;1;-;1;-;-
3106 LESTE;-;1;-;-;-;-;-;1;-;-;-;-;2;3;2;-;1;-;2;-;1;-;2;-;-
3107 SUDESTE;1;1;2;1;2;3;2;-;3;1;-;-;3;1;2;3;1;2;2;-;4;1;-;1;1
3108 NORTE;1;3;3;3;2;2;1;5;3;3;2;2;2;1;1;3;3;2;2;1;3;2;-;-;3
3109 NOROESTE;1;1;-;1;-;-;1;1;-;-;-;-;1;-;3;1;-;1;1;-;1;-;-;1;-
3110 LESTE DO SUL;1;-;1;1;1;-;2;1;-;1;3;-;1;-;-;1;-;1;-;-;2;1;1;2;1
3111 NORDESTE;-;1;2;1;-;2;1;1;1;1;-;1;-;-;2;-;-;-;1;-;1;-;-;1;1
3112 TRIANGULO DO SUL;1;3;1;1;-;1;1;1;-;1;1;1;-;-;1;2;-;1;1;1;-;1;-;-;-
3113 TRIANGULO DO NORTE;4;3;1;2;-;-;-;1;2;1;-;1;-;-;-;1;1;-;1;1;1;-;-;-;-
3114 VALE DO ACO;-;-;1;-;2;2;1;1;-;3;-;-;-;3;-;-;1;2;-;-;1;-;-;-;-
3205 SUL;-;-;-;1;1;-;-;1;2;-;1;1;2;-;1;-;-;-;-;-;1;1;-;-;-
3206 NORTE;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;1;1;-;1
3207 METROPOLITANA;1;2;4;1;-;2;3;2;1;1;7;3;5;2;2;1;2;2;3;3;3;1;3;2;1
3208 CENTRAL;1;1;-;2;1;-;3;-;1;-;-;-;-;-;2;-;1;1;1;3;-;-;2;2;-
3312 MACRORREGIAO I;19;24;26;17;18;17;15;20;14;15;30;24;21;15;14;16;20;16;10;13;10;11;9;16;10
3518 RRAS9;-;2;2;-;2;2;4;1;4;1;3;1;-;1;3;1;2;3;2;2;1;1;2;1;3
3519 RRAS8;1;3;3;3;-;2;2;2;6;2;6;2;-;3;2;4;1;4;2;1;3;-;8;2;-
3520 RRAS7;1;3;2;1;2;2;3;-;-;2;1;2;3;3;2;1;-;3;2;-;2;1;1;-;3
3521 RRAS6;16;14;16;11;7;15;20;12;18;10;18;18;13;19;8;9;15;11;5;5;12;8;9;4;5
3522 RRAS5;1;2;1;2;3;3;1;4;3;1;1;2;1;2;4;1;2;3;2;-;2;-;1;1;-
3523 RRAS4;1;1;2;2;1;2;1;-;2;-;1;-;3;2;-;-;1;1;-;-;1;-;1;1;-
3524 RRAS3;1;1;2;1;1;2;1;-;-;-;-;-;1;1;1;-;-;-;-;1;-;1;-;-;-
3525 RRAS2;5;3;7;4;4;3;-;2;3;5;1;1;5;6;2;1;2;6;2;2;3;4;2;-;6
3526 RRAS17;6;4;7;3;3;4;3;1;-;1;3;2;4;4;2;3;-;3;2;1;5;1;1;2;2
3527 RRAS16;-;-;1;1;-;2;-;-;1;-;2;1;1;-;-;1;1;1;-;-;-;2;2;-;-
3528 RRAS15;8;3;-;-;2;4;3;4;5;-;1;1;2;5;1;1;1;2;4;5;2;1;2;2;2
3529 RRAS14;2;1;1;2;1;1;1;3;1;2;1;1;2;2;-;2;1;-;1;1;1;-;1;-;1
3530 RRAS13;1;2;1;6;3;3;6;3;3;7;2;3;4;5;2;2;6;4;6;4;3;1;3;2;1
3531 RRAS12;-;2;5;4;1;3;8;4;5;1;2;2;2;1;3;4;2;3;3;2;1;4;4;2;-
3532 RRAS11;-;1;-;-;-;2;1;1;-;1;-;-;1;3;1;1;-;1;-;1;2;1;-;-;-
3533 RRAS10;4;-;1;1;3;1;-;2;1;3;2;4;4;-;1;-;1;-;1;1;-;1;-;-;-
3534 RRAS1;6;-;2;4;3;2;1;1;5;2;2;3;3;4;3;1;2;3;1;2;3;-;2;5;2
4105 MACRORREGIONAL NORTE;4;5;2;3;1;4;2;2;4;1;-;2;2;1;3;4;3;1;3;2;3;5;1;6;2
4106 MACRORREGIONAL NOROESTE;4;1;-;-;4;1;5;4;1;-;1;-;2;-;-;2;-;1;1;1;1;3;2;4;-
4107 MACRORREGIONAL LESTE;5;9;7;6;11;2;9;1;6;9;4;6;9;4;4;6;9;6;4;4;4;7;4;2;4
4108 MACRORREGIAO OESTE;1;1;2;1;2;3;4;5;2;1;-;3;1;1;3;6;1;2;5;3;1;5;2;1;2
4210 SUL;3;3;1;-;3;2;2;1;3;3;1;1;-;-;-;2;2;-;1;-;-;2;1;-;-
4211 PLANALTO NORTE E NORDESTE;2;1;-;2;1;2;-;2;-;3;3;2;-;-;-;4;4;3;1;-;2;2;4;4;1
4212 MEIO OESTE E SERRA CATARINENSE;2;3;2;-;1;-;2;1;-;-;-;2;2;-;-;1;1;1;-;2;3;-;-;2;-
4213 GRANDE OESTE;3;7;1;1;-;2;1;2;2;-;-;1;-;1;-;2;-;1;-;-;-;-;-;1;-
4214 GRANDE FLORIANOPOLIS;-;3;-;1;-;2;1;1;-;-;1;-;-;4;-;1;2;-;-;-;1;-;1;1;-
4215 FOZ DO RIO ITAJAI;-;-;-;-;1;-;1;2;-;1;-;-;-;1;-;-;1;1;-;1;-;-;-;1;-
4216 ALTO VALE DO ITAJAI;1;4;1;2;-;2;2;1;1;2;2;-;-;2;-;3;1;-;-;-;-;1;-;-;-
4308 VALES;1;1;3;3;-;2;2;-;1;-;-;3;1;1;-;-;-;2;-;1;1;1;1;1;1
4309 SUL;1;1;3;2;1;-;1;1;3;2;-;1;1;1;1;1;1;1;-;1;-;1;1;2;-
4310 SERRA;1;3;-;3;-;-;-;1;-;2;1;2;3;-;-;2;-;1;1;-;2;2;1;1;1
4310 SERRA;2;6;1;1;-;6;3;1;1;1;3;2;3;1;3;1;2;-;-;2;-;-;-;4;-
4312 MISSIONEIRA;2;4;2;1;-;1;3;1;1;2;-;2;3;-;2;1;-;1;-;1;-;1;-;-;-
4313 METROPOLITANA;8;9;3;13;7;3;2;7;6;2;4;-;7;6;4;2;7;3;5;7;3;4;6;4;5
4314 CENTRO-OESTE;5;-;1;1;1;1;-;3;2;1;1;2;2;-;3;2;2;1;1;1;1;-;-;1;-
5005 TRES LAGOAS;-;-;-;-;-;-;-;-;2;-;-;-;-;1;-;2;-;-;-;1;-;-;1;-;-
5006 DOURADOS;3;1;2;-;-;1;2;-;1;3;3;1;1;2;1;1;2;2;1;-;3;1;1;2;3
5007 CORUMBA;1;-;1;1;-;-;-;-;-;1;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-
5008 CAMPO GRANDE;3;2;1;3;3;2;3;6;2;2;1;2;2;2;1;3;2;-;-;1;5;3;-;3;1
5101 MACRORREGIAO SUL;1;-;-;-;-;-;-;3;1;1;-;2;-;-;-;-;1;-;-;1;-;-;1;1;-
5102 MACRORREGIAO OESTE;1;-;-;1;1;-;1;-;-;1;-;-;-;-;1;-;-;1;1;-;1;-;1;1;-
5103 MACRORREGIAO NORTE;1;-;2;-;-;-;1;3;-;3;2;1;-;-;-;-;-;1;1;2;-;-;1;-;2
5104 MACRORREGIAO LESTE;-;-;-;-;1;1;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;1
5105 MACRORREGIAO CENTRO-NORTE;1;2;2;1;1;4;1;2;4;-;3;1;-;1;1;2;5;-;3;-;2;1;3;1;-
5206 MACRORREGIAO SUDOESTE;1;-;-;2;-;-;2;2;1;-;-;1;1;-;-;-;3;-;-;1;2;2;-;1;-
5207 MACRORREGIAO NORDESTE;-;1;-;-;1;1;3;1;1;1;3;-;-;3;2;1;-;3;1;1;-;-;-;-;1
5208 MACRORREGIAO CENTRO-OESTE;2;4;1;3;2;4;2;2;5;4;3;5;-;5;5;6;4;5;3;3;4;6;3;4;2
5209 MACRORREGIAO CENTRO-NORTE;-;1;2;1;1;3;3;1;-;-;2;1;1;2;2;-;1;-;2;1;1;-;-;-;1
5210 MACRORREGIAO CENTRO SUDESTE;3;1;3;3;1;-;2;3;1;1;2;1;2;1;-;1;3;1;3;4;1;1;2;1;-
5302 MACRORREGIÃO DE BRASÍLIA;1;5;-;2;2;2;2;6;-;1;5;5;1;1;3;3;1;2;7;1;2;3;2;3;2
5303 MACRORREGIÃO DE SAÚDE I;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
5304 MACRORREGIÃO DE SAÚDE II;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
5305 MACRORREGIÃO DE SAÚDE III;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
 ;;;;;;;;;;;;;;;;;;;;;;;;;
