Macrorregião de Saúde;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
1101 MACRORREGIONAL II (CACOAL);1;-;-;3;-;1;-;2;-;2;1;-;2;-;1;2;1;-;2;1;1;-;1;2;-
1102 MACRORREGIAO I - PORTO VELHO;1;-;-;1;-;2;-;5;-;1;-;-;2;4;1;1;2;1;3;1;1;4;2;2;-
1201 MACRO UNICA - AC;-;2;1;-;-;-;-;-;-;3;1;-;2;2;2;2;3;1;1;1;-;1;1;4;2
1302 OESTE;-;-;-;-;-;1;1;-;-;-;-;-;2;-;-;1;1;2;-;-;-;1;1;-;1
1303 LESTE;-;1;-;1;-;-;2;-;-;-;2;-;1;-;-;1;-;1;-;1;1;-;1;-;-
1304 CENTRAL;5;2;2;2;3;4;7;4;4;1;6;4;5;5;5;6;5;7;3;7;5;1;6;4;7
1401 MACRO-RORAIMA;-;-;1;-;3;-;-;-;-;-;2;-;-;-;-;1;1;1;1;-;-;1;1;-;2
1509 MACRORREGIONAL IV;-;-;-;-;3;2;-;-;-;3;4;6;2;4;-;3;2;3;3;-;3;3;2;2;2
1510 MACRORREGIONAL III;1;-;1;-;1;-;3;1;1;1;-;1;1;1;2;5;1;1;-;4;2;-;3;1;4
1511 MACRORREGIONAL II;-;-;1;-;2;-;2;3;3;3;5;3;4;-;3;7;2;2;2;2;5;3;2;3;1
1512 MACRORREGIONAL I;8;3;3;1;4;4;2;9;7;6;3;4;16;7;4;7;10;9;6;6;7;7;6;6;2
1601 MACRO UNICA - AP;-;1;1;-;1;-;-;-;4;-;-;1;-;1;3;-;1;1;2;4;3;1;3;1;1
1701 MACRORREGIAO NORTE;1;1;-;-;-;-;2;-;-;-;3;1;2;2;2;-;-;-;2;-;-;1;-;-;-
1702 MACRORREGIAO CENTRO-SUL;1;-;-;1;2;3;1;1;1;1;-;4;1;4;-;-;2;-;1;1;-;-;1;2;2
2109 MACRORREGIAO SUL;1;-;-;-;1;2;-;4;1;-;3;4;-;2;-;3;2;2;1;1;2;1;2;1;2
2110 MACRORREGIAO NORTE;1;7;4;6;8;-;5;7;5;6;9;8;9;5;10;2;3;1;7;5;7;7;4;8;8
2111 MACRORREGIAO LESTE;1;1;1;-;4;2;3;-;2;2;1;-;3;2;3;2;-;-;1;1;2;5;1;2;1
2207 SEMI-ARIDO;-;-;-;-;-;-;1;1;-;1;-;1;2;-;1;3;1;-;-;-;-;-;-;-;-
2208 MEIO NORTE;1;2;-;4;6;2;3;1;1;2;1;2;1;4;1;2;1;1;1;3;5;2;2;5;2
2209 LITORAL;-;-;-;-;1;2;2;3;-;-;1;2;4;-;2;-;2;-;2;2;2;3;1;-;2
2210 CERRADOS;-;-;-;-;-;-;1;1;-;1;-;3;1;1;1;-;-;1;-;1;1;-;-;-;1
2306 5ª MACRO - LITORAL LESTE/JAGUARIBE;-;1;-;2;-;-;-;1;1;-;-;2;3;-;-;-;1;1;1;-;-;2;-;1;-
2307 4ª MACRO - SERTAO CENTRAL;-;1;1;1;1;-;-;1;1;-;-;2;-;-;1;-;1;-;1;-;1;1;-;1;1
2308 3ª MACRO - CARIRI;-;3;-;1;2;1;-;1;5;2;1;1;2;2;2;3;2;1;-;2;2;3;5;4;-
2309 2ª MACRO - SOBRAL;1;-;2;-;1;3;6;3;-;3;2;2;1;2;2;3;6;2;1;2;3;1;1;7;3
2310 1ª MACRO - FORTALEZA;7;3;3;10;7;8;11;7;3;2;2;7;3;4;9;3;8;7;5;7;7;8;7;2;7
2401 MACRORREGIAO II;1;1;2;1;1;3;1;2;-;1;-;-;3;1;1;-;1;1;1;1;1;-;-;1;-
2402 MACRORREGIAO I;2;3;4;2;5;5;2;3;3;-;4;2;7;2;3;1;3;3;3;5;6;5;3;2;2
2501 MACRORREGIAO III - SERTAO/ALTO SERTAO;2;-;2;-;-;1;-;1;1;1;2;3;2;-;-;-;1;3;-;1;1;2;1;2;1
2502 MACRORREGIAO II - CAMPINA GRANDE;-;2;-;1;1;-;-;-;-;4;1;3;1;2;3;2;4;1;2;1;2;1;2;2;3
2503 MACRORREGIAO I - JOAO PESSOA;2;3;3;3;3;1;3;2;1;2;3;3;1;-;3;-;3;1;1;2;1;3;2;2;2
2605 VALE DO S.FRANCISCO E ARARIPE;-;2;1;1;-;-;-;3;1;-;1;3;-;-;1;-;2;1;1;1;2;1;1;2;2
2606 SERTAO;1;-;2;-;-;3;-;-;1;3;-;-;2;-;1;-;1;-;2;2;1;-;-;1;-
2607 METROPOLITANA;7;9;11;4;10;4;7;2;5;6;6;1;4;9;8;6;4;10;7;6;5;3;3;3;2
2608 AGRESTE;-;2;1;1;6;5;1;-;2;-;2;2;-;1;2;-;2;1;3;3;1;1;-;-;1
2703 2ª MACRORREGIAO DE SAUDE;1;1;2;2;-;-;-;4;1;3;2;4;4;7;-;2;1;-;4;2;-;1;2;2;-
2704 1ª MACRORREGIAO DE SAUDE;2;1;5;5;8;-;4;1;3;1;5;4;6;2;4;4;3;2;4;2;3;4;2;1;3
2801 MACRO UNICA;1;-;1;3;1;-;4;2;1;1;2;5;1;6;5;4;5;2;5;2;2;1;4;5;2
2910 SUL (NBS - ILHEUS);-;2;2;1;2;2;3;2;1;1;2;4;2;4;2;6;4;2;3;5;3;1;4;2;-
2911 SUDOESTE (NBS - VITORIA CONQUISTA);3;-;2;-;1;3;3;-;1;1;3;2;3;3;4;1;-;2;-;-;2;2;2;-;3
2912 OESTE (NBS - BARREIRAS);-;1;1;2;1;-;1;-;1;1;3;-;2;1;3;2;-;-;1;1;-;1;1;2;-
2913 NORTE - (NRS - JUAZEIRO);1;-;-;-;-;1;1;-;-;-;-;3;-;1;-;1;1;3;-;1;2;2;2;1;-
2914 NORDESTE (NRS - ALAGOINHAS);-;-;-;3;2;2;2;-;1;1;1;-;-;2;-;3;-;2;5;1;1;-;-;1;-
2915 LESTE - (NRS - SALVADOR);10;5;4;2;4;4;3;1;6;5;3;8;2;11;4;3;2;3;3;6;5;4;6;5;2
2916 EXTREMO SUL (NRS - TEIXEIRA FREITAS);-;1;-;-;1;-;1;-;1;1;1;1;2;1;-;1;1;1;1;-;-;1;-;1;1
2917 CENTRO-LESTE (NRS - FEIRA SANTANA);1;-;1;2;1;2;4;3;1;2;2;1;3;-;1;-;3;1;3;2;-;4;-;2;1
2918 CENTRO - NORTE (NRS - JACOBINA);-;2;-;-;-;-;-;-;-;1;-;-;-;2;1;2;1;1;-;-;-;-;-;-;1
3101 SUL;1;4;2;2;4;3;2;3;-;5;2;3;1;5;4;2;1;5;1;9;-;3;2;1;2
3102 CENTRO SUL;1;-;-;-;1;1;-;3;-;1;-;1;1;1;-;1;1;-;1;1;1;-;-;-;1
3103 CENTRO;8;4;5;8;5;8;4;8;7;8;7;8;6;7;8;5;9;9;8;10;8;2;7;4;4
3104 JEQUITINHONHA;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-
3105 OESTE;1;-;-;1;-;1;-;1;3;-;1;2;3;1;-;5;-;-;3;1;-;2;1;4;1
3106 LESTE;-;4;1;1;-;1;-;-;-;-;1;2;-;-;2;1;-;-;1;-;-;-;-;-;1
3107 SUDESTE;2;1;1;2;-;1;1;1;-;-;2;-;3;3;1;4;4;1;1;2;2;-;3;2;1
3108 NORTE;3;2;-;4;1;2;6;1;2;4;7;2;3;3;2;4;-;1;-;4;1;3;4;1;2
3109 NOROESTE;-;1;1;-;2;-;-;-;-;1;-;-;1;-;1;2;1;2;-;3;1;-;1;1;1
3110 LESTE DO SUL;-;-;1;1;-;-;-;-;1;1;-;1;2;2;2;2;-;-;1;-;-;-;-;-;-
3111 NORDESTE;2;-;1;1;-;-;-;-;2;3;-;-;-;2;1;2;1;1;1;2;2;1;-;-;2
3112 TRIANGULO DO SUL;-;-;1;2;-;-;-;2;2;-;-;-;2;-;1;-;2;-;1;1;-;-;2;-;-
3113 TRIANGULO DO NORTE;-;1;1;3;3;1;1;-;1;1;-;3;-;-;2;4;1;-;1;2;1;-;2;-;2
3114 VALE DO ACO;2;3;-;-;-;-;1;1;-;1;2;-;1;-;1;1;1;1;1;-;2;1;-;1;1
3205 SUL;-;1;-;-;-;-;-;1;1;1;-;1;2;1;-;2;1;2;1;2;1;-;1;2;-
3206 NORTE;-;-;1;2;-;1;-;2;3;1;1;-;1;1;1;1;-;-;-;1;-;-;-;1;-
3207 METROPOLITANA;2;6;2;1;3;2;2;3;3;3;1;5;1;3;2;4;3;3;-;4;1;3;1;2;3
3208 CENTRAL;1;-;1;3;-;1;1;2;-;-;-;2;1;2;-;1;-;-;1;1;-;1;1;-;-
3312 MACRORREGIAO I;23;26;28;19;18;17;17;13;19;22;21;14;12;31;15;15;21;16;18;25;18;18;17;14;13
3518 RRAS9;1;4;4;4;4;-;3;1;1;2;-;2;1;2;2;2;1;-;1;2;2;1;1;4;1
3519 RRAS8;1;3;3;2;2;1;7;1;4;1;2;2;2;-;1;2;1;3;3;4;2;4;6;-;3
3520 RRAS7;2;2;2;5;3;1;2;2;1;2;1;5;2;3;3;3;1;1;1;2;1;2;4;2;1
3521 RRAS6;20;19;20;13;15;14;13;16;9;6;13;17;16;21;14;10;10;8;6;13;8;4;6;8;6
3522 RRAS5;3;1;3;4;5;1;2;2;1;2;-;-;2;5;3;1;7;-;1;1;2;2;1;1;-
3523 RRAS4;1;-;3;1;1;1;4;1;3;2;3;-;1;1;1;-;2;3;-;1;2;1;-;2;1
3524 RRAS3;1;-;2;3;-;1;-;-;-;-;2;-;1;1;-;1;-;-;-;-;-;-;-;-;1
3525 RRAS2;3;6;5;1;5;2;3;1;2;5;3;7;2;2;3;1;3;4;3;3;2;6;1;4;2
3526 RRAS17;1;5;2;3;7;7;3;1;3;4;2;1;-;2;3;3;-;4;2;4;2;-;1;1;2
3527 RRAS16;-;2;2;2;3;1;-;1;1;1;2;3;-;-;4;1;-;2;-;1;-;-;2;2;4
3528 RRAS15;2;1;2;2;6;4;1;5;5;4;3;3;3;1;2;2;3;4;3;4;1;1;1;3;-
3529 RRAS14;2;1;-;1;1;1;1;3;1;2;1;-;2;1;1;1;2;2;2;-;1;1;-;1;2
3530 RRAS13;4;7;6;3;3;3;3;4;5;6;2;6;6;3;4;3;3;6;2;3;5;4;4;4;3
3531 RRAS12;2;3;3;2;4;3;2;1;3;3;3;2;3;3;2;1;8;1;1;2;2;-;-;2;2
3532 RRAS11;-;2;-;1;-;3;-;2;-;2;1;-;-;2;-;1;2;1;3;2;1;1;-;1;2
3533 RRAS10;2;4;1;-;3;1;-;2;-;-;2;3;-;3;1;2;-;-;-;3;-;-;-;-;1
3534 RRAS1;1;4;2;1;6;2;4;6;6;3;1;2;1;4;5;2;5;3;2;1;2;1;4;1;-
4105 MACRORREGIONAL NORTE;2;2;3;2;3;2;3;3;1;2;2;3;1;3;5;3;6;1;6;2;2;2;-;3;6
4106 MACRORREGIONAL NOROESTE;1;3;2;1;-;2;4;2;2;1;-;3;3;2;1;1;2;1;1;2;2;1;1;3;2
4107 MACRORREGIONAL LESTE;5;7;4;8;7;7;9;5;5;4;8;10;7;5;4;12;11;8;6;4;6;3;6;3;5
4108 MACRORREGIAO OESTE;4;1;6;2;1;1;1;3;3;6;5;1;2;2;3;4;3;2;2;1;1;3;-;2;2
4210 SUL;-;5;1;1;-;2;5;1;-;-;-;-;-;3;1;1;1;3;1;-;2;-;-;2;2
4211 PLANALTO NORTE E NORDESTE;5;-;1;2;2;2;-;3;1;1;-;2;1;-;3;3;1;-;-;1;1;1;-;-;1
4212 MEIO OESTE E SERRA CATARINENSE;-;2;1;1;-;3;1;2;1;1;1;2;3;2;3;1;3;-;-;1;2;1;-;-;-
4213 GRANDE OESTE;2;1;1;1;2;3;-;1;2;2;-;1;-;2;-;1;2;-;1;1;1;1;2;2;2
4214 GRANDE FLORIANOPOLIS;-;3;2;2;-;1;2;2;1;-;3;2;-;-;2;-;2;1;-;1;1;1;3;2;-
4215 FOZ DO RIO ITAJAI;1;-;-;-;-;-;2;-;-;-;1;-;-;1;-;-;-;2;3;-;2;1;3;2;-
4216 ALTO VALE DO ITAJAI;2;-;1;1;1;-;-;1;2;-;3;1;2;3;-;-;-;2;-;-;-;3;1;-;2
4308 VALES;1;1;1;-;1;1;1;1;-;1;-;1;1;-;-;1;-;-;1;1;-;1;2;-;-
