Macrorregião de Saúde;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
1101 MACRORREGIONAL II (CACOAL);-;-;1;-;-;-;-;-;-;1;1;-;1;1;-;-;-;1;-;-;-;-;1;1;-
1102 MACRORREGIAO I - PORTO VELHO;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;1;-;-;-;3
1201 MACRO UNICA - AC;-;-;-;1;3;-;2;-;-;-;2;-;-;-;-;1;-;-;-;-;-;2;-;-;1
1302 OESTE;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;1;-;-;-
1303 LESTE;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-
1304 CENTRAL;-;1;-;-;1;2;2;1;5;2;-;1;1;1;1;-;1;2;-;2;1;3;1;1;1
1401 MACRO-RORAIMA;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;1;-;-
1509 MACRORREGIONAL IV;-;-;-;-;-;-;-;1;-;-;1;2;-;-;-;1;-;-;-;1;1;1;-;-;1
1510 MACRORREGIONAL III;-;-;3;1;1;1;-;1;-;-;-;1;-;-;-;-;1;-;-;-;-;1;1;1;1
1511 MACRORREGIONAL II;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-
1512 MACRORREGIONAL I;-;-;-;1;-;-;-;-;4;-;-;2;-;1;1;-;2;-;2;4;1;-;1;2;-
1601 MACRO UNICA - AP;-;1;-;-;1;1;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-
1701 MACRORREGIAO NORTE;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;1;-
1702 MACRORREGIAO CENTRO-SUL;-;-;-;-;1;-;3;-;-;-;-;1;-;-;-;-;-;-;-;1;-;1;1;-;-
2109 MACRORREGIAO SUL;-;1;-;-;-;1;1;-;2;-;1;-;1;-;1;1;-;2;-;1;-;-;-;-;2
2110 MACRORREGIAO NORTE;1;2;-;-;2;-;1;2;4;2;1;1;1;1;1;2;-;2;-;-;2;-;1;-;1
2111 MACRORREGIAO LESTE;-;-;-;-;-;2;1;2;2;1;-;-;1;1;-;-;-;-;-;1;1;-;1;-;1
2207 SEMI-ARIDO;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2208 MEIO NORTE;-;2;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;1;-;1
2209 LITORAL;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2210 CERRADOS;-;-;-;-;1;-;-;-;-;1;-;1;-;2;-;-;-;-;-;-;-;-;-;-;-
2306 5ª MACRO - LITORAL LESTE/JAGUARIBE;-;-;-;-;-;-;1;-;-;-;-;-;1;1;1;-;-;-;-;-;-;-;-;-;-
2307 4ª MACRO - SERTAO CENTRAL;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;1
2308 3ª MACRO - CARIRI;-;-;-;1;1;-;-;-;1;1;-;-;1;-;-;-;1;2;-;-;-;-;-;-;-
2309 2ª MACRO - SOBRAL;2;1;-;1;2;1;-;2;1;1;1;1;-;-;-;1;-;-;1;-;2;-;-;-;-
2310 1ª MACRO - FORTALEZA;1;2;7;2;2;1;2;4;-;2;1;-;1;1;1;-;1;1;-;-;2;3;2;1;1
2401 MACRORREGIAO II;-;1;-;-;1;1;-;-;-;-;1;2;-;-;1;-;-;-;-;-;-;-;1;-;-
2402 MACRORREGIAO I;1;-;1;1;-;2;-;-;1;2;-;1;-;1;-;1;2;-;2;1;3;-;2;4;1
2501 MACRORREGIAO III - SERTAO/ALTO SERTAO;-;-;-;-;1;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
2502 MACRORREGIAO II - CAMPINA GRANDE;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;1;-;-;1
2503 MACRORREGIAO I - JOAO PESSOA;-;-;-;1;-;-;-;-;-;1;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-
2605 VALE DO S.FRANCISCO E ARARIPE;-;-;-;-;1;-;-;-;1;-;-;-;-;1;-;1;1;1;-;-;-;-;-;-;-
2606 SERTAO;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
2607 METROPOLITANA;-;4;1;-;-;1;-;1;-;1;3;1;3;2;-;-;-;1;-;2;-;1;-;-;-
2608 AGRESTE;-;1;1;1;-;1;-;-;2;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-
2703 2ª MACRORREGIAO DE SAUDE;-;-;1;-;-;1;2;-;1;1;2;-;-;-;-;1;1;-;-;-;-;1;1;1;-
2704 1ª MACRORREGIAO DE SAUDE;-;1;-;-;-;-;-;1;-;1;1;-;1;-;1;-;-;1;-;-;-;-;-;-;-
2801 MACRO UNICA;-;2;-;1;-;1;-;-;-;-;1;1;-;1;-;-;-;1;-;-;1;1;2;3;1
2910 SUL (NBS - ILHEUS);-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-
2911 SUDOESTE (NBS - VITORIA CONQUISTA);1;-;-;-;2;-;1;-;-;-;1;-;-;-;2;-;-;-;-;1;1;-;1;-;-
2912 OESTE (NBS - BARREIRAS);-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-
2913 NORTE - (NRS - JUAZEIRO);-;-;1;-;-;-;-;1;1;-;-;-;1;1;-;-;-;-;-;-;-;-;-;1;-
2914 NORDESTE (NRS - ALAGOINHAS);-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-
2915 LESTE - (NRS - SALVADOR);1;1;-;1;-;2;1;3;-;2;1;-;1;-;-;-;2;-;-;3;2;1;-;-;-
2916 EXTREMO SUL (NRS - TEIXEIRA FREITAS);-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;2;-;-;-;-;-;1;-
2917 CENTRO-LESTE (NRS - FEIRA SANTANA);1;-;-;-;-;1;-;-;-;1;2;1;-;-;-;-;2;-;-;-;1;-;2;-;-
2918 CENTRO - NORTE (NRS - JACOBINA);-;-;1;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
3101 SUL;-;-;2;2;-;1;1;2;1;1;-;1;-;-;-;-;-;-;1;-;1;-;-;1;-
3102 CENTRO SUL;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;1;-;-;-;-;-;-;-
3103 CENTRO;1;2;-;4;2;-;2;-;2;1;1;2;-;-;1;2;4;-;2;-;-;1;1;-;-
3104 JEQUITINHONHA;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
3105 OESTE;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
3106 LESTE;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
3107 SUDESTE;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
3108 NORTE;1;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
3109 NOROESTE;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-
3110 LESTE DO SUL;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
3111 NORDESTE;-;-;-;-;-;-;1;1;-;-;1;1;-;-;-;1;-;-;-;-;1;-;-;-;-
3112 TRIANGULO DO SUL;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-
3113 TRIANGULO DO NORTE;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-
3114 VALE DO ACO;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-
3205 SUL;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
3206 NORTE;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-
3207 METROPOLITANA;1;1;-;-;-;-;1;-;1;1;2;-;-;-;-;-;1;-;-;-;1;-;-;-;-
3208 CENTRAL;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-
3312 MACRORREGIAO I;2;5;6;3;1;4;1;4;2;3;2;-;2;2;2;1;3;3;-;-;2;1;-;2;3
3518 RRAS9;-;1;1;-;-;-;1;1;1;-;-;-;-;-;-;-;-;-;-;-;1;-;1;1;-
3519 RRAS8;-;-;-;-;2;1;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;1;-
3520 RRAS7;-;-;-;-;-;1;1;1;1;1;-;2;2;-;-;1;1;-;1;-;-;-;-;-;1
3521 RRAS6;3;1;2;2;2;1;2;1;2;3;-;-;1;-;1;1;1;3;1;2;3;1;3;1;-
