Macrorregião de Saúde;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
1101 MACRORREGIONAL II (CACOAL);1;3;-;-;1;-;-;-;-;1;-;-;1;1;2;1;-;1;1;-;-;-;-;-;1
1102 MACRORREGIAO I - PORTO VELHO;-;-;2;1;3;3;1;2;-;1;1;-;2;1;-;1;-;3;-;-;2;-;2;1;1
1201 MACRO UNICA - AC;-;1;-;2;1;1;1;1;1;1;2;-;1;2;-;2;1;1;-;1;1;2;2;1;-
1302 OESTE;1;-;-;1;-;-;-;1;-;1;-;1;-;-;-;-;1;-;-;1;2;2;-;-;1
1303 LESTE;2;2;-;-;-;1;1;-;1;2;1;2;-;1;1;1;-;2;1;1;-;1;2;2;3
1304 CENTRAL;2;1;5;5;4;5;11;5;4;7;5;5;1;6;3;6;5;8;9;6;11;1;6;6;7
1401 MACRO-RORAIMA;-;-;-;-;-;2;1;-;-;-;1;-;-;-;-;-;1;-;-;1;1;2;3;-;1
1509 MACRORREGIONAL IV;1;2;2;2;-;2;-;2;1;1;3;4;3;1;2;3;4;3;-;4;2;-;5;1;1
1510 MACRORREGIONAL III;-;1;1;2;2;2;1;2;2;3;-;1;3;3;6;4;1;2;-;3;3;3;1;-;2
1511 MACRORREGIONAL II;-;-;2;-;-;4;-;3;2;5;4;1;3;1;5;-;4;5;3;1;5;1;1;2;5
1512 MACRORREGIONAL I;6;3;8;7;4;10;11;7;5;5;7;4;4;5;5;4;7;2;7;5;4;6;4;3;2
1601 MACRO UNICA - AP;5;1;1;2;1;3;-;-;1;3;1;-;2;1;2;-;1;2;-;2;2;-;1;4;-
1701 MACRORREGIAO NORTE;-;-;1;-;-;-;-;1;-;-;2;2;2;2;2;1;-;2;-;1;-;-;-;-;-
1702 MACRORREGIAO CENTRO-SUL;2;-;-;2;1;-;3;1;2;2;1;-;1;1;2;1;-;-;1;1;-;1;3;1;-
2109 MACRORREGIAO SUL;-;-;-;1;1;2;1;2;-;1;2;4;1;-;3;4;2;2;-;1;-;4;6;1;2
2110 MACRORREGIAO NORTE;2;6;3;2;8;5;7;6;4;7;7;5;6;4;10;7;3;2;7;-;6;5;7;5;7
2111 MACRORREGIAO LESTE;1;-;1;-;1;-;1;3;-;3;4;1;4;2;4;2;4;4;-;1;1;4;1;1;1
2207 SEMI-ARIDO;-;-;-;-;-;-;1;-;-;1;-;-;-;1;-;2;1;2;2;2;1;-;-;1;-
2208 MEIO NORTE;1;-;-;2;2;5;3;3;1;3;4;2;3;1;3;3;2;1;1;1;1;1;4;3;3
2209 LITORAL;-;-;-;-;1;-;-;2;1;-;-;1;-;1;1;1;2;-;1;1;1;3;1;2;-
2210 CERRADOS;-;-;-;-;1;1;-;1;1;-;-;-;1;1;2;2;-;-;2;2;-;1;1;1;-
2306 5ª MACRO - LITORAL LESTE/JAGUARIBE;1;-;1;1;2;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;3;3
